week_start_date,week_end_date,review_id,title,text,date,program_tag
2025-09-22,2025-09-28,bdf5d9f5-2765-41ca-8153-10020ef1943c,,"brokerage charges is way too high, if I need to buy and sell 10 rupees stock , then I would need to pay 10 rupees as brokerage fee this is insane",2025-09-28 19:38:27,com.nextbillion.groww
2025-09-22,2025-09-28,69221f24-f107-4cd8-8e33-84b7bff4efc3,,Please don't use this app. You can use zerodha app this is better app for trading . I have to contact to groww team from last 2 month but customer service representative is not solve my issue.he is not interested my issue .,2025-09-28 19:31:19,com.nextbillion.groww
2025-09-22,2025-09-28,c4823da9-0442-4f7c-88e1-101962fb48a3,,PLEASE DO NOT DOWNLOAD THIS APP THERE IS A WAY IN BUT NO WAY OUT. ONCE YOU CREATE AN ACCOUNT THEY WON'T LET YOU DELETE YOUR ACCOUNT,2025-09-28 18:42:56,com.nextbillion.groww
2025-09-22,2025-09-28,da979c91-de91-419c-944c-c3fcbfbbb885,,very good app... I use pl capital motilal rise and Groww...best app is Groww....simple user friendly dashboard and platform for MF and Share IPO etc.....no hidden charges....just love this app ....,2025-09-28 15:44:00,com.nextbillion.groww
2025-09-22,2025-09-28,26e9eaf9-356b-42bf-88ad-a18b53c0b9aa,,Never ever had any issue. Easy to use. Managing my funds. Withdrawal is instant. Amazing team. Never had to rush for customer service. Their inbuilt services are fab & fluent. Appreciated your efforts team,2025-09-28 15:41:01,com.nextbillion.groww
2025-09-22,2025-09-28,967901d3-f1f7-4e77-be36-1f2d408dd6a8,,after updating my application holding share not showing all other showing only current holding share not showing do fix this issue as soon as possible,2025-09-28 14:04:51,com.nextbillion.groww
2025-09-22,2025-09-28,869246c6-111c-4846-9c90-9cdf89012897,,"Money keeps getting deducted from your account every day through some or the other means, this rubbish app will deduct money every day. BC.",2025-09-28 10:09:29,com.nextbillion.groww
2025-09-22,2025-09-28,f32c0045-aedc-4cfb-bf90-855980d18429,,One of the best investing app . Groww can expand more by adding features to invest in unlisted shares too as it already got the trust so users will definitely like more options.,2025-09-28 00:58:19,com.nextbillion.groww
2025-09-22,2025-09-28,4bd9ee1b-9131-4588-9bfb-868525a9d8e2,,"Hello Groww Team, I noticed that for some ETFs on your platform, I am not able to see basic information for Groww ETFs such as fundamentals, returns, holdings, volumes, and expense ratios, while for other ETFs this data is available. As investor point of view these are all key points to track down the things. If your own ETFs are not showing up the data then who show up the intrest of buying ? Could you please let me know why this difference exists and when it might be updated?",2025-09-28 00:10:33,com.nextbillion.groww
2025-09-22,2025-09-28,cc58215a-063c-4012-8272-c610fd22c715,,"Recently I have faced an issue twice, that is even I have set target, it doesn't please order, then I was alerted and exited order and further immediately another order placed automatically which leads loss booking. charges are burden to small and beginning learners.",2025-09-27 23:12:42,com.nextbillion.groww
2025-09-22,2025-09-28,ebebca12-195a-4c06-b8e5-9815038f7c96,,grow app bahut achcha hai main ismein share bhi kharidi hai aur of aur Maine call aur put bhi kharidte hain bahut achcha Laga super,2025-09-27 22:39:06,com.nextbillion.groww
2025-09-22,2025-09-28,d55dffa2-737c-4e5e-8ed3-cd5cea70db6b,,hu thi kya chi kuttu ke gu ja tu ok ve hi of ft h ki get h ki tu hi rah ru hi i tred et hi of f dh ko of fu ki ch hi of gh ki ch ki tu ok to gu ki 6th ko,2025-09-27 19:49:56,com.nextbillion.groww
2025-09-22,2025-09-28,dfa8da6d-e22b-49d1-94cb-43c7a66002e4,,management of grow is very Poor. they opt sip investment from SoA to demat without prior notification in app or other Media. I was doing sip from long time in SOA form but they change it in demand due to his benefit. cheap activity,2025-09-27 19:17:58,com.nextbillion.groww
2025-09-22,2025-09-28,6a81f45a-7928-4948-9708-864e4e026525,,"The Groww app is fantastic! Its blazing-fast login and simple design make it the top choice for retail investors. To make a great experience perfect, please add two key features: QR code login for the desktop platform and direct order placement from TradingView charts. These additions are highly anticipated by users.",2025-09-27 18:37:51,com.nextbillion.groww
2025-09-22,2025-09-28,4f05375b-771f-47fc-9b06-d8d5d25f0ce2,,Not work ipo ke money leke application process me hai....dikhata hai.... SEBI ka approval nahi dikhata,2025-09-27 18:31:27,com.nextbillion.groww
2025-09-22,2025-09-28,01c1b32c-98a3-4da1-ab41-0427d3c4ec61,,"Be careful, employees from groww share your contact with fraudisters if you have considerable amount in your groww app. I started receiving multiple WhatsApp and telegram group messages stating they will help with investment. I kept wondering how these people are getting my contact and I could later figure out that it all started after installing groww. I fell prey to one of the investment frauds and lost money. Be careful!",2025-09-27 18:06:54,com.nextbillion.groww
2025-09-22,2025-09-28,59418816-2dfc-4103-91ef-27af6f7115fb,,cshhs shhsjdidhd hskdud suhslei dueldii didlied sueodiieuejeg. zhhsbd idn.suebg due.sus sudb S sms Disney.dudmdyjemr.dudhndydnr..m..dyhrudjdjdydme bsubeud d d usbeudjsvskapnslssggs suekis.suehjso d.syso suhslei .syekjdgh udijs.ysj gst bdg sh dhg shbd she's dtdn frnd shend eggs eggs scenes and nshe of the answer is yes yes yes i am a good person and nshe of you to be in y and z in w to u too much and nshe of the answer to the ttttttt and nshe and the answer to be in it for you in it isn't workin,2025-09-27 16:06:21,com.nextbillion.groww
2025-09-22,2025-09-28,2ed9906b-582c-4d02-bc34-afbf0f07faf5,,"I had to change the sur- name in my pancard due to certain issues,now I can't update my name in growapp,I have asked numerous times but none of their designated staff could solve it.Each time they designate a new staff and I'm back to the same position.I explained a hundred times I need to update my surname,they all give the same answer,with which I can't edit.There is no edit option.So I am not satisfied with your service. Dear people,if you have some genuine issue,be certain,they cannot solve",2025-09-27 14:27:31,com.nextbillion.groww
2025-09-22,2025-09-28,f861a1cc-8e13-4726-9d31-967af7c9dfd2,,"Heard about it from a friend. But had to immediately uninstalled. At initial setup, it's too easy to accidentally choose some options. You can't go back and correct the choices. And these can not be changed later in settings as well. Also it's terrible at account deletion. Once in, it's a nightmare to exit. Do not get into the trap!",2025-09-27 11:31:29,com.nextbillion.groww
2025-09-22,2025-09-28,0f44bcf7-9742-4f19-99ab-c98a1eb8c299,,Never expected such a worst customer service from Groww. Technical team knowledge is zero. I have raised a complaint and it's been a week now and still not resolved. Called multiple times with no use. This clearly shows the effectiveness and efficiency of staff working for Groww. Very disappointed.,2025-09-27 07:46:39,com.nextbillion.groww
2025-09-22,2025-09-28,d67242af-3126-4739-a903-2d2c2500e96f,,worst app bina kisi bhi reason ke paise kaat lete hain agar wallet mai jab tak paise hote tab tak kaatne lage rahte ye ghatiya log,2025-09-27 05:48:35,com.nextbillion.groww
2025-09-22,2025-09-28,39079f81-1b83-47c7-b3e7-dee5070b4cfc,,GROW HECTIC TO VERIFY ADHAR DETAILS IN ANGEL ONE SIMPLE CLICK PHOTOS NO OTP HECTIC FOR ABROAD STAYERS,2025-09-27 05:43:42,com.nextbillion.groww
2025-09-22,2025-09-28,14101bfa-9ef7-49ef-ba9f-45448592271b,,GROWW NEW UPDATE IS AWESOME. SEEN FULL OPTION CHAIN AND GREEKS. FOR BETTER TRADING EXPERIENCE.THANK YOU SO MUCH.,2025-09-27 01:30:36,com.nextbillion.groww
2025-09-22,2025-09-28,4d51ff40-b9b9-497e-bcfb-0691b7ee2552,,it's very user friendly and fast opening demat providing app. super fast . really impressed a lot. been personal favorite after using it. I won't use other apps. thank you,2025-09-26 20:13:36,com.nextbillion.groww
2025-09-22,2025-09-28,a6b3186c-8498-4aaf-8885-69eb01ffbf6b,,"Thank you Groww team for introducing gold trading! Im really excited to start using this feature. My activation is still pending, so I kindly request you to please activate it soon. Looking forward to trading gold on Groww.",2025-09-26 19:42:54,com.nextbillion.groww
2025-09-22,2025-09-28,09d47167-fb12-4ba5-842e-611629fb5e60,,The new update is awesome. also provides Greeks in options. new feature is Awesome. thanks Team Groww.,2025-09-26 17:15:53,com.nextbillion.groww
2025-09-22,2025-09-28,64740ba7-a7cc-4e8e-b382-d5ee6c91db57,,"Request to Groww Team We do intraday trading on a daily basis, and our team works together actively. However, we would like the brokerage charges to be reduced. Otherwise, we may have to shift to another broker offering lower charges. We hope you will kindly consider our request.",2025-09-26 15:17:32,com.nextbillion.groww
2025-09-22,2025-09-28,7c1981c4-4f50-47bf-8b37-320c5d269b42,,groww app is not for trading... app glitch is too much. and their policies decides when to buy the trade,2025-09-26 15:13:38,com.nextbillion.groww
2025-09-22,2025-09-28,2cced514-fda4-401b-aa6d-ace24b6c329c,,"Plz introduce Watchlist type columns for our holdings in stocks & mutual funds . So that we can separate long term investment, short term investment etc ,we are able to make folders in holdings section. My genuine feedback.",2025-09-26 14:12:29,com.nextbillion.groww
2025-09-22,2025-09-28,68731a0d-8771-4215-978d-0350b4380478,,"The app has been almost unusable for the past week. It constantly crashes with a ""Something went wrong"" message, and the persistent ""outdated data"" warning makes it impossible to trust the information shown. Your backend seems to be struggling with data fetching. This isn't a minor bug; it undermines the core function of a trading app. Please treat this with urgency. If the recent updates caused this, please consider reverting them. If this isn't resolved quickly, you will lose a customer.",2025-09-26 14:12:11,com.nextbillion.groww
2025-09-22,2025-09-28,b389f5cf-a5d4-463e-83ea-f5091a175652,,"App keeps asking for KYC again even though I keep submitting the documents, I have been sending emails and raising complaints but nothing changed till now",2025-09-26 13:29:16,com.nextbillion.groww
2025-09-22,2025-09-28,e243f4d3-8f9d-48d6-9188-7fca8f35f3a5,,most of the retailers data shared to oprater and HNI from USA DII need to short the stocks which shows top intraday in groww,2025-09-26 12:28:03,com.nextbillion.groww
2025-09-22,2025-09-28,42eee5d1-a7a8-45a8-8992-3b8461370584,,"disgusting, just u are watching your portfolio and your investment amount, profit all things will increase at any moment I thought it will happen only one or two times but it happens everytime I open my portfolio ex my profile is 8-9 percent then it will become 120 percent",2025-09-26 11:55:47,com.nextbillion.groww
2025-09-22,2025-09-28,c7167ece-8cdc-46cb-8685-41d5d4c79450,,app is good interface and user fraindly but I have multiple accounts me and my family i want to use my phone can you give option switch accounts so I can manage in one hand set without logout Thank you Give me sujection,2025-09-26 10:12:49,com.nextbillion.groww
2025-09-22,2025-09-28,9b0fe18a-ead8-4795-a08e-a0be5f2befef,,after the new update the app crash..I cannot login to my groww account..I have uninstall and install again but the app just crash,2025-09-26 07:44:52,com.nextbillion.groww
2025-09-22,2025-09-28,fbf3067c-397a-4f1d-85a8-2ae276b7eb22,,it would be great if total profit and loss including brokrage and government taxes on account could be provided.,2025-09-26 07:33:34,com.nextbillion.groww
2025-09-22,2025-09-28,acbcdeec-4d01-4fe1-96c8-ec57ffaca71b,,I have Lodged a complaint in Dec 2024 with complaint No. 19463501. But till date there is no resolution. No track of my funds. Now recently I have Invested in SIP via Grow. But at the time of first investment I have chosen My Current account but now it is showing my saving & not let me to change the account number. I think to call customer care through 24x7 Number given but after waiting of 10 minutes i have to disconnect the call because no one was responding. Is this the service standard ?,2025-09-25 22:06:01,com.nextbillion.groww
2025-09-22,2025-09-28,5679ceb9-f8c8-49af-b1f5-e6d30dc068e7,,"Absolutely love using Groww! Super easy to invest in mutual funds, stocks, and more right from my phone. The interface is clean, intuitive, and makes managing my investments a breeze. Plus, the zero-commission mutual fund investments are a huge plus! Customer support is responsive too. Groww has made investing straightforward and accessible for me. Highly recommend",2025-09-25 21:06:56,com.nextbillion.groww
2025-09-22,2025-09-28,5caed4c4-8ef9-408c-8a5e-ea8b8427a2ab,,"Excellent app. a few suggestions to improve. 1. include breakouts for bearish signals also like near s1, s1 break out etc 2. Include additional criteria in tools- Type of stocks like fno, non-fno, fno& non-fno stocks",2025-09-25 21:04:11,com.nextbillion.groww
2025-09-22,2025-09-28,78388046-ac1a-4e1c-bfc6-f69ee9a09ab2,,"I have been using this for a while now. Best for the New investers as it is very user friendly. App Crashing issue is been ovserved quite a few times from last 15 days. Groww Team, Please work on it.",2025-09-25 17:26:15,com.nextbillion.groww
2025-09-22,2025-09-28,17559bb0-e274-456f-a535-017023bc4373,,"I liked Grow App very much, it is the easy and the best. Thanks for Groww.. Groww improve trail stoploss please",2025-09-25 17:15:24,com.nextbillion.groww
2025-09-22,2025-09-28,7055e4be-afcd-459b-9e72-3e7132d1988d,,"I was trying to migrate my Sips from somewhere to groww, but what I found very annoying is that it does not allow you to opt out of the initial investment. For me whonis trying to migrate SIps it means that I will have to do double investment in the same month if I have to start using Groww... checked with CC and there is no option for opt out. Disappointed",2025-09-25 16:23:11,com.nextbillion.groww
2025-09-22,2025-09-28,fb5e29b7-b74e-45d8-b1b3-45ed2de075f0,,"fraud app, bhai log its humble request never use shor cut way to earn money. vthey will ruin you life",2025-09-25 15:44:18,com.nextbillion.groww
