week_start_date,week_end_date,review_id,title,text,date,program_tag
2025-11-17,2025-11-23,784413c3-a88b-4139-88c0-1fa4ff3fa2d6,,"Compared to Zerodha Kite, the Groww chart zooming experience is not very responsive while analyzing candlestick charts with multiple indicators. The main issue is that when I try to stretch the chart vertically, the chart also stretches horizontally automatically, which should not happen. The same problem occurs in reverse horizontal stretching also affects vertical scaling, making it difficult to analyze the chart properly.",2025-11-23 21:44:05,com.nextbillion.groww
2025-11-17,2025-11-23,5fbe0494-35da-459f-9de5-2803d450d120,,Guys your customer service is sooo worst from the past 3 days I'm dealing your customer care no. to related my mutual funds redeemable amount but not even single call is connected or picked by your respected agent. I'm harassed by you guys from the past 3 days i raise a ticket from your grow app but there is no solution,2025-11-23 20:45:14,com.nextbillion.groww
2025-11-17,2025-11-23,fd77a3eb-3553-441b-b1c9-5647d0e77c22,,"I ve been using Groww since 2021. After the latest update, the platform has become even more user-friendly and easy to use. Thanks Groww sahi hai!",2025-11-23 19:33:54,com.nextbillion.groww
2025-11-17,2025-11-23,219baf6c-8640-48a8-a87c-dae7e8f80418,,everytime when I switch to some other app and resume groww again the chart resets to the current position which is so annoying why can't you make it stay in one place where user has already placed it,2025-11-23 18:46:54,com.nextbillion.groww
2025-11-17,2025-11-23,b0f5c80c-10dc-401f-a2fd-40b7574f7cc8,,"Very bad ,when you want to help any issue.Customer care does not to talk.No support.high brokerage charge.many hidden charge.So guys If you want to save your money .Do not download this.No trailing Stoploss.",2025-11-23 10:44:48,com.nextbillion.groww
2025-11-17,2025-11-23,1ad8c1c4-eb15-43b3-a42d-a6f707dbd0c8,,"only good for long time for others it is worst app.. i lost alot of money by using this app.. some time refreshing some time not exicute etc.. many problems are there in this app.. and you see more profit on your PL, But when you exit it it will less than the first amount and when you see the loss amount on your PL when exit it the loss amout is more than when you see first... if you put a target number the target will hit only the target number cross above not will hit even reach the target.",2025-11-22 20:05:42,com.nextbillion.groww
2025-11-17,2025-11-23,5f2a8bb4-618c-4577-a015-5ea209d0baac,,"I'm fulfilled with everything. But I need a only thing is , i need a PAUSE & RESUME option for a mutual fund. It will be very convenient for me.",2025-11-22 20:04:29,com.nextbillion.groww
2025-11-17,2025-11-23,b64b2eff-cb87-40d4-bc7f-8e14a7f7148c,,"Excellent Work Life Balance. Complete WFO policy. Dislikes. Think of Groww not much as a startup, but more as an early retirement plan.",2025-11-22 18:57:41,com.nextbillion.groww
2025-11-17,2025-11-23,cdfdec7a-deb2-4dd2-b86f-7ee26e4a0384,,"Don't go for groww, use zerodha or something else, this application have many technical glitches Don't loss your hard earn money.",2025-11-22 16:53:35,com.nextbillion.groww
2025-11-17,2025-11-23,facc76a5-fc5a-4120-8292-e42fde73aa43,,"third class app. learn how to develop app from upstock. all app give buy and sell option in stock. but in groww given sell and buy option so many times put wrong order. UI is third class compare to all app. many unnecessary screen are showing, need to scroll and tap to watchlist every time when i open the app as default screen is explore. unnecessary scrolling and tap for watchlist. UI must need to improve. your dev team is third class in UI. ask them to use upstock how to build best UI",2025-11-22 11:28:32,com.nextbillion.groww
2025-11-17,2025-11-23,a246faf4-6c7c-4f4f-b652-059ea5bb3959,,Dont open demat ac with groww beacuse the custmer support team very bad no one response when u got a problem go with angel one best custmer support,2025-11-22 11:08:44,com.nextbillion.groww
2025-11-17,2025-11-23,68e86aee-88ef-4422-8674-e44abfeee60b,,is app per Vishwas karna bahut hi jaruri hai history of mutual fund per adhik se adhik jyada Paisa Laga sakte hain,2025-11-22 10:04:05,com.nextbillion.groww
2025-11-17,2025-11-23,c6a675b4-f0c1-41aa-b84a-3572c945513e,,"bhut hi bekar application hai Exit karne par exit nhi hota hang ho jata hai , aur jab exit kare tau order confirmation hota hai itne mai sara move nikal jata hai",2025-11-22 09:21:01,com.nextbillion.groww
2025-11-17,2025-11-23,8ef1ef9c-2db1-4e23-8b79-2027c667d1e2,,good application ...but need to update the interface ...and the withdrawal system... so that we can withdraw any day any time.,2025-11-22 09:01:33,com.nextbillion.groww
2025-11-17,2025-11-23,f4408a94-460d-479e-8d30-85e236631b4e,,"very good app, in contract note brokerage details not mentioned against each order, please mention the brokerage against each order",2025-11-22 08:53:52,com.nextbillion.groww
2025-11-17,2025-11-23,eb28a499-5530-4d2a-9f2b-201e10c1fde0,,"Groww isnt the same as before. Now it charges brokerage on every transaction, even when we add some shares or make a purchase.",2025-11-22 07:33:59,com.nextbillion.groww
2025-11-17,2025-11-23,6e61a598-64f8-4e8b-83ab-7320211bcfbc,,please groww mein koi account mat kholna agar kuchh ulta sidha Paisa kat liya customer help nahin karta hai Mera 3 mutual fund rejected ho gaya hai abhi tak refund nahin mila 3 Mahina ho chuka hai Aisa nahin main customer se baat kiye the lekin koi fayda nahin hua,2025-11-22 07:29:43,com.nextbillion.groww
2025-11-17,2025-11-23,1fe99003-c195-4a8c-9b12-9f2dc46fa1ce,,"I liked your application but I have to face lagging issue, meaning the sale does not happen at the correct point, it does not show the amount at which it is sold.",2025-11-21 22:37:44,com.nextbillion.groww
